Student ID,Student Name,Gender,Age,Class,Section,City,Maths,Science,English,SocialScience,Computer,Column1,Attendance(%),Result
Std1356,,Unknown,18,10,C,Hyderabad,1,69,71,12,53,206,85,Fail
Std1357,,Female,11,9,A,Delhi,12,87,88,60,77,324,73,Fail
Std1358,Priya,Male,17,8,,Chennai,33,22,78,16,88,237,62,Pass
Std1359,Priya,Male,15,9,A,Hyderabad,28,97,100,94,97,416,76,Fail
Std1360,Sara,Female,,9,C,Delhi,65,60,45,33,31,234,85,Fail
Std1361,Sara,Male,,10,,Delhi,95,98,28,92,35,348,77,Pass
Std1362,Sara,Female,14,8,A,Hyderabad,66,9,85,71,50,281,75,Pass
Std1363,Priya,Female,10,9,A,Delhi,71,2,75,97,43,288,65,Fail
Std1364,,Female,16,9,A,Delhi,74,75,22,23,37,231,60,Fail
Std1365,Sara,Male,,9,B,Chennai,88,8,48,87,57,288,95,Fail
Std1366,Amit,Male,15,10,C,,73,1,39,42,17,172,97,Pass
Std1367,Priya,Male,11,10,C,Delhi,28,33,93,83,17,254,91,Pass
Std1368,Sara,Male,,8,A,Hyderabad,57,27,88,11,52,235,74,Pass
Std1369,Amit,Unknown,13,9,C,Mumbai,47,5,37,28,77,194,74,
Std1370,Sara,Male,17,8,A,Delhi,50,7,16,45,89,207,64,Fail
Std1371,John,Unknown,10,8,A,Hyderabad,59,,22,28,95,204,66,
Std1372,,Male,10,9,A,Hyderabad,98,50,93,95,65,401,55,Pass
Std1373,,Unknown,18,9,,Delhi,86,64,0,39,38,227,77,Fail
Std1374,Sara,Female,15,9,,Delhi,75,36,89,53,89,342,90,
Std1375,John,Male,10,8,B,Delhi,88,80,73,100,70,411,65,
Std1376,Sara,Female,13,10,C,Hyderabad,64,91,50,42,40,287,83,
Std1377,Priya,Female,,9,,Delhi,19,64,98,47,91,319,98,Fail
Std1378,Priya,Female,11,8,C,Chennai,44,98,72,33,94,341,,Fail
Std1379,,Unknown,,9,A,Delhi,3,53,4,74,70,204,89,Fail
Std1380,David,Female,17,10,A,Chennai,61,54,23,37,80,255,,Fail
Std1381,Priya,Female,14,9,,,13,89,77,59,27,265,94,Pass
Std1382,Priya,Female,,9,A,Mumbai,37,51,40,15,25,168,93,
Std1383,Sara,Female,16,9,,Hyderabad,53,10,78,60,26,227,67,Pass
Std1384,Priya,Male,11,8,C,Chennai,10,81,28,6,79,204,68,Pass
Std1385,Priya,Male,12,8,,Mumbai,14,68,81,81,91,335,91,
Std1386,John,Male,10,9,,Delhi,93,68,72,74,37,344,97,Fail
Std1387,Priya,Female,10,8,A,,18,78,13,74,87,270,84,Fail
Std1388,Amit,Female,14,9,B,Delhi,44,19,63,79,44,249,,Fail
Std1389,David,Female,17,9,A,Mumbai,39,35,18,9,86,187,67,Pass
Std1390,Priya,Male,11,8,A,Chennai,43,10,42,60,16,171,76,Fail
Std1391,David,Unknown,11,9,C,Hyderabad,58,39,95,24,90,306,62,
Std1392,Amit,Male,13,10,C,,100,10,9,64,83,266,54,
Std1393,Priya,Female,18,8,,Delhi,26,65,30,15,22,158,61,Pass
Std1394,John,Unknown,12,10,C,Delhi,66,26,44,87,64,287,58,
Std1395,Amit,Unknown,16,10,B,Mumbai,61,19,40,48,69,237,68,Fail
Std1396,Amit,Male,17,9,B,Mumbai,44,68,21,67,88,288,57,
Std1397,David,Female,15,9,,Delhi,60,41,81,38,81,301,90,
Std1398,Sara,Unknown,,10,,Delhi,12,50,11,52,41,166,79,Pass
Std1399,David,Male,18,8,A,,56,75,90,6,90,317,89,
Std1400,,Male,16,9,,,92,81,85,19,14,291,78,Pass
Std1401,David,Female,10,9,A,Delhi,89,97,81,17,97,381,67,
Std1402,Priya,Male,12,9,A,Delhi,57,83,93,25,45,303,94,Pass
Std1403,Amit,Male,16,9,A,Hyderabad,40,87,42,43,71,283,89,Pass
Std1404,David,Male,,8,B,Delhi,8,82,57,52,61,260,81,
Std1405,Amit,Female,11,10,C,Chennai,38,8,1,72,74,193,62,
Std1406,,Male,17,8,A,Chennai,5,39,33,58,73,208,70,Pass
Std1407,Priya,Female,10,9,,Mumbai,90,89,26,18,85,308,51,Fail
Std1408,Amit,Male,16,9,A,Delhi,14,55,31,40,90,230,59,
Std1409,David,Male,14,8,B,Delhi,2,93,88,91,53,327,53,Pass
Std1410,Amit,Unknown,10,9,,,43,30,8,23,86,190,84,
Std1411,Priya,Female,15,8,,Mumbai,82,7,44,99,95,327,51,Pass
Std1412,,Female,13,9,B,,13,31,32,10,68,154,61,Fail
Std1413,Priya,Female,17,10,C,Hyderabad,86,11,100,62,36,295,56,Pass
Std1414,Sara,Female,17,9,,Delhi,120,55,13,42,54,284,68,
Std1415,Amit,Male,13,9,C,,21,14,92,80,1,208,67,
Std1416,David,Unknown,15,9,B,Delhi,94,58,0,22,66,240,58,Pass
Std1417,Priya,Unknown,11,8,A,,31,78,6,40,13,168,95,Pass
Std1418,David,Unknown,,9,,Delhi,66,77,49,81,3,276,78,
Std1419,David,Male,15,9,C,Hyderabad,22,7,56,7,48,140,96,Fail
Std1420,Amit,Male,18,9,,Delhi,70,39,93,0,18,220,50,
Std1421,David,Female,,9,C,Delhi,20,85,53,57,6,221,64,Pass
Std1422,Amit,Male,15,9,,Chennai,42,94,21,35,85,277,55,Pass
Std1423,Sara,Female,10,9,,Chennai,71,84,52,26,7,240,59,Fail
Std1424,Priya,Male,16,8,,Hyderabad,54,94,63,97,25,333,50,
Std1425,David,Female,14,8,A,Hyderabad,59,22,48,99,34,262,81,
Std1426,David,Male,13,8,,Delhi,29,15,44,21,96,205,63,Pass
Std1427,David,Male,11,8,C,,120,1,69,73,100,363,71,Pass
Std1428,John,Unknown,17,10,A,Chennai,51,90,48,97,20,306,76,Fail
Std1429,John,Female,11,9,A,Chennai,80,17,12,20,36,165,69,Fail
Std1430,Priya,Male,,8,C,Chennai,23,89,61,62,87,322,100,
Std1431,Priya,Male,13,9,C,Chennai,23,1,100,100,32,256,,
Std1432,Priya,Male,,8,A,Delhi,81,20,73,97,18,289,81,Pass
Std1433,John,Unknown,,9,A,Hyderabad,84,63,83,99,7,336,73,
Std1434,Priya,Male,10,10,,Hyderabad,55,44,97,11,88,295,79,Pass
Std1435,John,Female,10,9,C,Mumbai,50,66,87,16,100,319,94,Fail
Std1436,Sara,Female,10,8,A,,3,66,28,78,37,212,100,
Std1437,Priya,Male,15,9,,Hyderabad,94,100,20,55,26,295,52,Fail
Std1438,Priya,Male,13,9,A,Chennai,78,92,57,81,96,404,71,
Std1439,Priya,Unknown,12,9,C,Delhi,25,33,9,54,69,190,55,Pass
Std1440,John,Male,10,10,,Chennai,57,21,4,51,4,137,98,Pass
Std1441,Sara,Female,13,8,,Chennai,75,47,37,54,45,258,59,Pass
Std1442,John,Female,11,9,B,Hyderabad,54,16,2,61,57,190,53,Fail
Std1443,,Female,18,10,A,Mumbai,49,95,40,49,13,246,67,Pass
Std1444,Amit,Male,13,8,,Delhi,0,99,33,0,78,210,99,Pass
Std1445,Amit,Female,10,9,A,Delhi,90,34,13,4,86,227,75,Pass
Std1446,Sara,Male,13,8,B,,27,93,9,68,94,291,54,
Std1447,David,Male,13,8,,Delhi,26,15,43,25,71,180,84,Pass
Std1448,David,Female,15,10,,Mumbai,35,98,21,93,28,275,80,Pass
Std1449,Amit,Male,12,8,A,Chennai,96,3,48,47,95,289,61,
Std1450,Amit,Male,10,9,B,Delhi,90,42,20,1,82,235,62,Fail
Std1451,David,Female,10,9,B,Delhi,,54,93,41,71,259,66,
Std1452,Priya,Female,14,8,A,Delhi,8,34,9,96,49,196,200,
Std1453,David,Male,12,9,,,73,67,70,67,30,307,74,Pass
Std1454,John,Unknown,12,9,A,Hyderabad,13,8,11,24,65,121,50,Fail
Std1455,Priya,Male,18,9,B,Chennai,120,33,43,2,100,298,57,Pass
Std1456,John,Female,14,9,A,Delhi,68,91,76,86,,321,99,Fail
Std1457,Amit,Female,12,10,A,Delhi,23,73,78,0,89,263,95,Fail
Std1458,Priya,Unknown,11,8,C,Chennai,46,80,61,80,36,303,65,Fail
Std1459,John,Male,,8,A,Delhi,41,9,90,93,88,321,74,Fail
Std1460,John,Male,10,8,B,Hyderabad,25,63,3,31,85,207,99,Pass
Std1461,Priya,Female,12,10,A,Delhi,58,58,55,28,6,205,78,
Std1462,Sara,Male,10,9,B,Delhi,14,65,83,88,48,298,65,Pass
Std1463,,Unknown,15,8,A,Hyderabad,33,46,21,44,49,193,97,Pass
Std1464,David,Female,13,9,,Delhi,85,7,77,39,53,261,52,
Std1465,Priya,Unknown,10,9,,,62,63,55,16,100,296,62,Pass
Std1466,John,Unknown,15,8,A,,67,72,20,13,87,259,79,Fail
Std1467,David,Unknown,10,10,A,Chennai,81,21,6,49,40,197,97,Pass
Std1468,,Female,12,8,B,Chennai,40,47,12,64,70,233,99,Fail
Std1469,Priya,Unknown,14,9,,Hyderabad,76,20,42,75,6,219,56,Fail
Std1470,David,Female,10,10,B,,49,32,26,39,1,147,83,Pass
Std1471,Amit,Female,12,8,,,78,98,24,21,95,316,92,Pass
Std1472,Priya,Female,16,9,C,,50,13,52,8,32,155,63,Pass
Std1473,,Male,18,9,A,Hyderabad,75,73,89,5,25,267,80,
Std1474,David,Unknown,11,8,,Hyderabad,14,86,70,38,79,287,74,
Std1475,John,Female,11,8,A,Delhi,44,92,92,37,99,364,93,
Std1476,Priya,Male,17,9,C,,45,14,93,58,56,266,69,Pass
Std1477,Amit,Unknown,17,8,B,Chennai,58,29,69,93,28,277,70,
Std1478,Priya,Unknown,15,10,A,Delhi,79,94,33,66,81,353,60,Fail
Std1479,John,Male,18,8,,Delhi,22,65,84,76,90,337,90,Fail
Std1480,Amit,Unknown,10,8,C,,86,0,36,67,90,279,96,
Std1481,Amit,Male,11,8,,Delhi,90,5,38,43,82,258,52,
Std1482,Priya,Female,17,8,C,Hyderabad,120,1,30,55,47,253,97,
Std1483,David,Female,18,9,C,Delhi,38,31,12,87,96,264,85,
Std1484,Priya,Male,13,10,,Delhi,78,5,6,17,75,181,83,Pass
Std1485,John,Male,10,9,A,,75,60,50,43,69,297,57,Pass
Std1486,John,Female,10,8,B,Mumbai,10,46,73,62,94,285,66,Fail
Std1487,David,Female,,8,B,Delhi,86,49,70,45,77,327,80,Pass
Std1488,Priya,Female,18,10,C,Mumbai,17,19,62,96,25,219,90,Fail
Std1489,Priya,Unknown,14,9,,Mumbai,40,22,19,24,99,204,69,Pass
Std1490,John,Male,17,8,C,,15,4,6,21,92,138,62,Fail
Std1491,Priya,Female,,10,B,Mumbai,30,70,46,51,24,221,73,Fail
Std1492,Priya,Male,10,8,C,Mumbai,39,-10,0,2,37,68,53,Pass
Std1493,Priya,Female,10,9,C,Hyderabad,14,91,54,29,57,245,92,Pass
Std1494,,Female,17,9,B,Delhi,23,94,11,28,22,178,63,Pass
Std1495,John,Unknown,16,10,A,,47,83,37,93,87,347,57,Fail
Std1496,David,Female,16,9,C,Delhi,88,53,84,16,9,250,65,Pass
Std1497,Sara,Male,,9,A,Mumbai,18,28,80,27,23,176,90,Pass
Std1498,John,Male,11,8,C,,65,41,76,93,22,297,77,Pass
Std1499,,Female,17,10,,Delhi,49,31,61,2,94,237,70,Pass
